Tipo documento;Nacionalidad;GÈnero;Fecha nacimiento;PaÌs residencia;Municipio residencia;Estrato vivienda;Personas hogar;Tiene internet;Tiene computador;Colegio gÈnero;Calendario;Colegio ·rea;Jornada;Lectura crÌtica;DesempeÒo lectura critica;Matem·ticas;DesempeÒo matem·ticas;Ciencias naturales;DesempeÒo naturales;Ciencias sociales;DesempeÒo sociales;Ingles;DesempeÒo ingles;Puntaje global;Percentil global
TI;COLOMBIA;F;9/11/2000;COLOMBIA;ENVIGADO;Estrato 6;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;75;4;81;4;73;4;70;3;80;B+;376;94
TI;COLOMBIA;F;19/11/2000;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;FEMENINO;B;URBANO;MA—ANA;56;3;54;3;58;3;60;3;50;A1;282;46
TI;COLOMBIA;F;20/05/2000;COLOMBIA;CALI;Estrato 4;3 a 4;Si;Si;FEMENINO;B;URBANO;COMPLETA;58;3;65;3;57;3;56;3;63;A2;297;52
TI;COLOMBIA;M;16/08/2000;COLOMBIA;POPAY¡N;Estrato 2;3 a 4;Si;Si;MIXTO;OTRO;URBANO;TARDE;63;3;59;3;59;3;55;2;54;A1;293;50
CC;COLOMBIA;M;18/07/1998;COLOMBIA;BOGOT¡Å D.C.;Sin Estrato;Sin Respuesta;Sin respuesta;-;MIXTO;A;URBANO;MA—ANA;37;2;22;1;31;1;40;1;25;A-;160;1
CC;COLOMBIA;M;21/11/1995;COLOMBIA;CALI;Estrato 4;5 a 6;Si;Si;MIXTO;B;URBANO;NOCHE;62;3;54;3;58;3;64;3;61;A2;298;53
TI;COLOMBIA;M;24/03/2000;COLOMBIA;CARTAGO;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;55;3;62;3;52;2;53;2;44;A-;273;41
TI;COLOMBIA;M;12/07/2001;COLOMBIA;CALI;Estrato 3;3 a 4;Si;No;MIXTO;B;URBANO;MA—ANA;72;4;64;3;61;3;62;3;68;B1;325;67
CC;COLOMBIA;M;10/10/1998;COLOMBIA;GIRARDOTA;Estrato 3;3 a 4;Si;Si;MIXTO;A;URBANO;NOCHE;42;2;32;1;42;2;32;1;39;A-;186;6
CC;COLOMBIA;M;2/07/1976;COLOMBIA;PAILITAS;Sin Estrato;3 a 4;Sin respuesta;-;MIXTO;A;URBANO;NOCHE;55;3;33;1;42;2;38;1;47;A-;212;15
TI;COLOMBIA;M;12/01/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 3;3 a 4;Si;Si;MIXTO;A;URBANO;MA—ANA;61;3;45;2;57;3;56;3;68;B1;279;44
TI;COLOMBIA;F;17/07/2000;COLOMBIA;MEDELLÕN;Estrato 3;3 a 4;No;Si;MIXTO;OTRO;URBANO;MA—ANA;32;1;27;1;35;1;31;1;42;A-;160;1
CC;COLOMBIA;M;6/09/1998;COLOMBIA;CALI;Estrato 2;3 a 4;Si;Si;MIXTO;A;URBANO;SABATINA;54;3;47;2;52;2;54;2;38;A-;253;32
CC;COLOMBIA;F;2/03/1999;COLOMBIA;BOGOT¡Å D.C.;Estrato 1;3 a 4;Si;Si;MIXTO;OTRO;URBANO;NOCHE;53;3;40;2;53;2;56;3;43;A-;250;31
TI;COLOMBIA;F;27/11/2001;COLOMBIA;CALI;Estrato 3;3 a 4;No;Si;MIXTO;B;URBANO;MA—ANA;55;3;57;3;56;3;49;2;59;A2;273;41
TI;COLOMBIA;F;17/12/2001;COLOMBIA;CALI;Estrato 5;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;70;4;64;3;68;3;71;4;75;B1;344;78
TI;COLOMBIA;F;12/06/1999;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;42;2;32;1;40;1;37;1;43;A-;191;7
TI;COLOMBIA;M;11/09/2000;COLOMBIA;CANDELARIA;Estrato 2;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;60;3;54;3;50;2;49;2;63;A2;270;40
TI;COLOMBIA;M;2/07/2000;COLOMBIA;CALI;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;46;2;42;2;29;1;33;1;27;A-;183;5
